20:23:20.424 -> A, B, C
20:23:55.576 -> 995, 1025, 799
20:23:55.610 -> 998, 1022, 793
20:23:55.676 -> 997, 1026, 793
20:23:55.743 -> 997, 1023, 797
20:23:55.776 -> 998, 1022, 798
20:23:55.842 -> 995, 1022, 794
20:23:55.875 -> 994, 1317, 800
20:23:55.942 -> 992, 1027, 798
20:23:55.975 -> 995, 1023, 792
20:23:56.042 -> 1001, 1028, 791
20:23:56.075 -> 997, 1025, 794
20:23:56.141 -> 997, 1028, 796
20:23:56.175 -> 1001, 1019, 796
20:23:56.241 -> 995, 1028, 796
20:23:56.274 -> 995, 1022, 798
20:23:56.341 -> 996, 1028, 796
20:23:56.407 -> 996, 1026, 791
20:23:56.440 -> 993, 1022, 798
20:23:56.507 -> 1000, 1022, 793
20:23:56.540 -> 996, 1024, 794
20:23:56.606 -> 995, 1020, 795
20:23:56.640 -> 995, 1021, 798
20:23:56.706 -> 993, 1021, 790
20:23:56.739 -> 997, 1019, 796
20:23:56.805 -> 997, 1021, 791
20:23:56.839 -> 995, 1019, 797
20:23:56.905 -> 994, 1020, 797
20:23:56.938 -> 997, 1021, 793
20:23:57.005 -> 992, 1028, 795
20:23:57.038 -> 995, 1020, 796
20:23:57.104 -> 993, 1018, 794
20:23:57.171 -> 991, 1021, 794
20:23:57.204 -> 994, 1022, 795
20:23:57.270 -> 993, 1027, 793
20:23:57.304 -> 994, 1022, 793
20:23:57.370 -> 994, 1022, 794
20:23:57.403 -> 993, 1021, 792
20:23:57.470 -> 991, 1028, 794
20:23:57.503 -> 994, 1027, 796
20:23:57.569 -> 991, 1021, 797
20:23:57.603 -> 993, 1022, 795
20:23:57.669 -> 994, 1021, 794
20:23:57.702 -> 992, 1022, 793
20:23:57.768 -> 997, 1021, 795
20:23:57.835 -> 996, 1027, 795
20:23:57.868 -> 996, 1027, 798
20:23:57.935 -> 995, 1021, 791
20:23:57.968 -> 993, 996, 799
20:23:58.034 -> 993, 1022, 796
20:23:58.067 -> 995, 1023, 797
20:23:58.134 -> 991, 1016, 798
20:23:58.167 -> 995, 1026, 796
20:23:58.234 -> 998, 1023, 793
20:23:58.267 -> 999, 1020, 797
20:23:58.333 -> 991, 1026, 795
20:23:58.366 -> 1000, 1022, 796
20:23:58.433 -> 995, 1021, 795
20:23:58.466 -> 992, 1022, 793
20:23:58.533 -> 994, 1021, 795
20:23:58.599 -> 997, 1020, 794
20:23:58.632 -> 993, 1022, 794
20:23:58.698 -> 995, 1022, 795
20:23:58.732 -> 994, 1027, 793
20:23:58.798 -> 994, 1021, 796
20:23:58.831 -> 991, 1013, 796
20:23:58.898 -> 997, 1019, 794
20:23:58.931 -> 993, 1021, 795
20:23:58.997 -> 997, 1021, 794
20:23:59.030 -> 994, 1020, 791
20:23:59.097 -> 996, 1020, 796
20:23:59.130 -> 998, 1020, 789
20:23:59.197 -> 982, 1022, 796
20:23:59.230 -> 994, 1031, 797
20:23:59.296 -> 995, 1020, 796
20:23:59.363 -> 992, 1021, 792
20:23:59.396 -> 997, 1021, 794
20:23:59.462 -> 1002, 1022, 796
20:23:59.496 -> 995, 1021, 796
20:23:59.562 -> 993, 1019, 797
20:23:59.595 -> 879, 1023, 799
20:23:59.661 -> 998, 1020, 790
20:23:59.694 -> 996, 1027, 795
20:23:59.761 -> 996, 1021, 794
20:23:59.794 -> 997, 1023, 799
20:23:59.860 -> 999, 1022, 793
20:23:59.893 -> 991, 1022, 796
20:23:59.960 -> 996, 1019, 794
20:24:00.026 -> 997, 1022, 790
20:24:00.060 -> 1002, 1028, 796
20:24:00.126 -> 1001, 1021, 795
20:24:00.159 -> 991, 1021, 798
20:24:00.226 -> 997, 1020, 796
20:24:00.259 -> 996, 1022, 792
20:24:00.325 -> 993, 1018, 794
20:24:00.358 -> 982, 1022, 794
20:24:00.425 -> 993, 1026, 798
20:24:00.458 -> 997, 1022, 795
20:24:00.524 -> 997, 1019, 795
20:24:00.558 -> 995, 1022, 797
20:24:00.624 -> 979, 1019, 791
20:24:00.690 -> 997, 1021, 796
20:24:00.724 -> 995, 1023, 793
20:24:00.790 -> 994, 1021, 793
20:24:00.823 -> 997, 1022, 790
20:24:00.890 -> 998, 1021, 797
20:24:00.923 -> 992, 1024, 796
20:24:00.989 -> 996, 1022, 795
20:24:01.023 -> 993, 1022, 795
20:24:01.089 -> 994, 1020, 795
20:24:01.122 -> 996, 1028, 795
20:24:01.189 -> 998, 1020, 791
20:24:01.222 -> 1010, 1040, 810
20:24:01.288 -> 1218, 1031, 800
20:24:01.321 -> 1483, 1020, 799
20:24:01.388 -> 1617, 1028, 811
20:24:01.454 -> 1322, 1027, 796
20:24:01.487 -> 1338, 1028, 795
20:24:01.554 -> 1379, 1019, 799
20:24:01.587 -> 1386, 1020, 796
20:24:01.653 -> 1387, 1018, 794
20:24:01.687 -> 1389, 1019, 794
20:24:01.753 -> 1382, 1015, 796
20:24:01.786 -> 1381, 1017, 795
20:24:01.853 -> 1389, 1021, 795
20:24:01.886 -> 1383, 1019, 798
20:24:01.953 -> 1386, 1017, 797
20:24:01.986 -> 1384, 1020, 791
20:24:02.053 -> 1381, 1020, 797
20:24:02.086 -> 1387, 1020, 798
20:24:02.152 -> 1386, 1021, 795
20:24:02.219 -> 1390, 1021, 797
20:24:02.252 -> 1386, 1020, 796
20:24:02.318 -> 1393, 1018, 797
20:24:02.352 -> 1388, 1017, 799
20:24:02.418 -> 1384, 1019, 797
20:24:02.451 -> 1390, 1019, 798
20:24:02.518 -> 1387, 1019, 796
20:24:02.551 -> 1390, 1019, 795
20:24:02.617 -> 1385, 1017, 791
20:24:02.650 -> 1384, 1018, 794
20:24:02.717 -> 1384, 1019, 796
20:24:02.750 -> 1389, 1020, 794
20:24:02.817 -> 1387, 1019, 791
20:24:02.883 -> 1388, 1019, 794
20:24:02.917 -> 1386, 1020, 797
20:24:02.983 -> 1382, 1016, 794
20:24:03.016 -> 1391, 1019, 797
20:24:03.082 -> 1388, 1017, 795
20:24:03.115 -> 1387, 1017, 795
20:24:03.182 -> 1389, 1018, 799
20:24:03.215 -> 1386, 1018, 792
20:24:03.281 -> 1385, 1017, 794
20:24:03.315 -> 1382, 1020, 794
20:24:03.381 -> 1389, 1020, 792
20:24:03.414 -> 1386, 1019, 797
20:24:03.481 -> 1389, 1020, 794
20:24:03.514 -> 1384, 973, 791
20:24:03.581 -> 1384, 1018, 795
20:24:03.647 -> 1387, 1017, 797
20:24:03.680 -> 1389, 1021, 792
20:24:03.747 -> 1388, 1020, 800
20:24:03.780 -> 1381, 1015, 799
20:24:03.846 -> 1389, 1018, 794
20:24:03.880 -> 1386, 1016, 799
20:24:03.946 -> 1387, 1020, 797
20:24:03.980 -> 1391, 1016, 799
20:24:04.046 -> 1390, 1015, 797
20:24:04.079 -> 1390, 1020, 799
20:24:04.146 -> 1385, 1018, 797
20:24:04.179 -> 1386, 1017, 791
20:24:04.245 -> 1387, 1012, 798
20:24:04.312 -> 1386, 1017, 795
20:24:04.345 -> 1385, 1019, 791
20:24:04.411 -> 1388, 1016, 796
20:24:04.445 -> 1386, 1018, 794
20:24:04.511 -> 1384, 1018, 797
20:24:04.544 -> 1385, 1023, 799
20:24:04.611 -> 1383, 1019, 795
20:24:04.644 -> 1392, 1019, 793
20:24:04.710 -> 1390, 1020, 798
20:24:04.744 -> 1384, 1017, 796
20:24:04.810 -> 1386, 1015, 796
20:24:04.844 -> 1384, 1019, 798
20:24:04.910 -> 1387, 1020, 798
20:24:04.943 -> 1386, 1021, 792
20:24:05.009 -> 1385, 1020, 792
20:24:05.076 -> 1389, 1019, 793
20:24:05.109 -> 1386, 1017, 793
20:24:05.175 -> 1385, 1021, 797
20:24:05.209 -> 1386, 1020, 799
20:24:05.275 -> 1383, 1018, 795
20:24:05.308 -> 1384, 1017, 794
20:24:05.375 -> 1386, 1020, 795
20:24:05.408 -> 1391, 1020, 796
20:24:05.474 -> 1388, 1019, 795
20:24:05.508 -> 1386, 1020, 793
20:24:05.574 -> 1387, 1017, 798
20:24:05.608 -> 1389, 1018, 796
20:24:05.674 -> 1387, 1017, 800
20:24:05.707 -> 1383, 1021, 797
20:24:05.774 -> 1383, 1020, 800
20:24:05.840 -> 1383, 1017, 796
20:24:05.873 -> 1386, 1017, 797
20:24:05.940 -> 1390, 1022, 799
20:24:05.973 -> 1388, 1018, 795
20:24:06.039 -> 1387, 1020, 793
20:24:06.073 -> 1384, 1019, 797
20:24:06.139 -> 1384, 1018, 796
20:24:06.172 -> 1200, 1028, 810
20:24:06.239 -> 1386, 1019, 798
20:24:06.272 -> 1287, 1021, 799
20:24:06.338 -> 1386, 1017, 792
20:24:06.372 -> 1384, 1038, 795
20:24:06.438 -> 1384, 1018, 797
20:24:06.471 -> 1382, 1021, 798
20:24:06.538 -> 1383, 1018, 798
20:24:06.604 -> 1388, 1020, 796
20:24:06.638 -> 1383, 1017, 796
20:24:06.704 -> 1383, 1019, 796
20:24:06.737 -> 1388, 1020, 764
20:24:06.804 -> 1388, 1016, 794
20:24:06.837 -> 1384, 1119, 796
20:24:06.904 -> 1360, 1020, 794
20:24:06.937 -> 1387, 1018, 796
20:24:07.003 -> 1359, 1033, 809
20:24:07.036 -> 1020, 1010, 799
20:24:07.103 -> 1048, 1015, 796
20:24:07.136 -> 1066, 1016, 795
20:24:07.203 -> 1072, 1013, 798
20:24:07.269 -> 1071, 1013, 796
20:24:07.302 -> 1073, 1014, 794
20:24:07.369 -> 1067, 1013, 798
20:24:07.402 -> 1074, 1013, 796
20:24:07.468 -> 1072, 1015, 801
20:24:07.502 -> 1073, 1018, 790
20:24:07.568 -> 1072, 1013, 795
20:24:07.601 -> 1072, 1014, 795
20:24:07.668 -> 1072, 1016, 792
20:24:07.701 -> 1073, 1013, 796
20:24:07.767 -> 1073, 1009, 795
20:24:07.801 -> 1073, 1027, 798
20:24:07.867 -> 1075, 1012, 795
20:24:07.900 -> 1074, 1013, 794
20:24:07.967 -> 1073, 1011, 799
20:24:08.033 -> 1080, 1015, 797
20:24:08.067 -> 1073, 1012, 794
20:24:08.133 -> 1073, 1010, 797
20:24:08.166 -> 1077, 1013, 797
20:24:08.233 -> 1073, 1011, 795
20:24:08.266 -> 1062, 1014, 797
20:24:08.332 -> 1071, 1013, 797
20:24:08.366 -> 1081, 1013, 793
20:24:08.432 -> 1074, 1013, 781
20:24:08.466 -> 1073, 1012, 792
20:24:08.532 -> 1073, 1015, 792
20:24:08.565 -> 1072, 1010, 795
20:24:08.632 -> 1071, 1013, 799
20:24:08.665 -> 1076, 1014, 795
20:24:08.732 -> 1078, 1013, 797
20:24:08.798 -> 1076, 1011, 770
20:24:08.831 -> 1072, 1013, 795
20:24:08.898 -> 1095, 1013, 795
20:24:08.931 -> 1072, 1015, 795
20:24:08.997 -> 1072, 1012, 794
20:24:09.031 -> 1077, 1013, 799
20:24:09.097 -> 1070, 1011, 795
20:24:09.130 -> 1072, 1015, 800
20:24:09.197 -> 1082, 1013, 793
20:24:09.230 -> 1076, 1016, 798
20:24:09.297 -> 1076, 1012, 795
20:24:09.330 -> 1072, 1012, 792
20:24:09.397 -> 1073, 1014, 794
20:24:09.430 -> 1076, 1019, 791
20:24:09.496 -> 1073, 1014, 790
20:24:09.563 -> 1073, 1020, 798
20:24:09.596 -> 1072, 1022, 795
20:24:09.663 -> 1072, 1018, 798
20:24:09.696 -> 1075, 1014, 794
20:24:09.762 -> 1074, 1015, 791
20:24:09.796 -> 1074, 1013, 800
20:24:09.862 -> 1078, 1019, 794
20:24:09.895 -> 1076, 1016, 790
20:24:09.962 -> 1073, 1014, 801
20:24:09.995 -> 1072, 1010, 794
20:24:10.061 -> 1074, 1014, 794
20:24:10.095 -> 1064, 1014, 793
20:24:10.161 -> 1077, 1053, 799
20:24:10.227 -> 1073, 1012, 797
20:24:10.261 -> 1072, 1017, 794
20:24:10.327 -> 1068, 1013, 795
20:24:10.360 -> 1073, 1016, 796
20:24:10.427 -> 1072, 1032, 794
20:24:10.460 -> 1072, 1013, 794
20:24:10.526 -> 1074, 1011, 790
20:24:10.560 -> 1086, 1015, 791
20:24:10.626 -> 1080, 1015, 797
20:24:10.659 -> 1076, 992, 795
20:24:10.726 -> 1076, 1013, 795
20:24:10.759 -> 1074, 948, 797
20:24:10.825 -> 1075, 1011, 794
20:24:10.859 -> 1078, 1014, 801
20:24:10.925 -> 1078, 1014, 796
20:24:10.992 -> 1079, 1012, 792
20:24:11.025 -> 1075, 1015, 796
20:24:11.091 -> 1076, 1052, 801
20:24:11.125 -> 1074, 1015, 796
20:24:11.191 -> 1074, 1012, 791
20:24:11.224 -> 1078, 1012, 793
20:24:11.291 -> 1078, 1013, 798
20:24:11.324 -> 1076, 1016, 798
20:24:11.390 -> 1074, 1026, 792
20:24:11.423 -> 1072, 1011, 794
20:24:11.490 -> 1076, 1013, 796
20:24:11.523 -> 1078, 1014, 794
20:24:11.590 -> 1073, 1011, 796
20:24:11.623 -> 1077, 1013, 798
20:24:11.689 -> 1076, 1013, 798
20:24:11.756 -> 1080, 1001, 796
20:24:11.789 -> 1072, 1013, 796
20:24:11.856 -> 1077, 1014, 793
20:24:11.889 -> 1078, 1013, 797
20:24:11.955 -> 1074, 1016, 796
20:24:11.989 -> 1076, 1012, 794
20:24:12.055 -> 1076, 1016, 797
20:24:12.088 -> 1078, 1014, 796
20:24:12.155 -> 1074, 1015, 795
20:24:12.188 -> 1075, 1018, 795
20:24:12.255 -> 1073, 1017, 800
20:24:12.288 -> 1077, 1011, 795
20:24:12.354 -> 1072, 1013, 793
20:24:12.388 -> 1078, 1015, 795
20:24:12.454 -> 1075, 1013, 796
20:24:12.521 -> 1073, 1013, 796
20:24:12.554 -> 1075, 1015, 798
20:24:12.620 -> 1074, 1016, 797
20:24:12.654 -> 1076, 1014, 799
20:24:12.720 -> 1072, 1013, 794
20:24:12.753 -> 1077, 1013, 796
20:24:12.820 -> 1072, 1013, 796
20:24:12.853 -> 1079, 1014, 795
20:24:12.920 -> 1070, 1014, 798
20:24:12.953 -> 1072, 1014, 798
20:24:13.019 -> 1080, 1015, 798
20:24:13.052 -> 1078, 1015, 797
20:24:13.119 -> 1075, 1015, 800
20:24:13.152 -> 1072, 1019, 795
20:24:13.219 -> 1074, 1013, 795
20:24:13.285 -> 1073, 1012, 799
20:24:13.318 -> 1077, 1013, 797
20:24:13.385 -> 1076, 1015, 796
20:24:13.418 -> 1078, 1015, 800
20:24:13.485 -> 1077, 1017, 794
20:24:13.518 -> 1079, 1016, 794
20:24:13.584 -> 1074, 1014, 794
20:24:13.618 -> 1076, 1014, 794
20:24:13.684 -> 1074, 1016, 796
20:24:13.717 -> 1077, 1014, 791
20:24:13.784 -> 1081, 1015, 798
20:24:13.817 -> 1018, 1015, 798
20:24:13.884 -> 1077, 1019, 794
20:24:13.917 -> 1076, 1020, 794
20:24:13.983 -> 1076, 1013, 794
20:24:14.050 -> 1082, 1013, 793
20:24:14.083 -> 1083, 1013, 794
20:24:14.150 -> 1078, 1013, 797
20:24:14.183 -> 1078, 1015, 798
20:24:14.249 -> 1083, 1014, 797
20:24:14.283 -> 1076, 1014, 796
20:24:14.349 -> 1078, 1010, 797
20:24:14.382 -> 1076, 1011, 794
20:24:14.449 -> 1082, 1016, 794
20:24:14.482 -> 1063, 1012, 795
20:24:14.549 -> 1083, 1014, 794
20:24:14.582 -> 1076, 1013, 793
20:24:14.648 -> 1077, 1010, 793
20:24:14.715 -> 1083, 1014, 794
20:24:14.748 -> 1081, 1016, 797
20:24:14.815 -> 1074, 1017, 797
20:24:14.848 -> 1077, 1014, 791
20:24:14.914 -> 1077, 1014, 794
20:24:14.948 -> 1082, 1014, 794
20:24:15.014 -> 1079, 1011, 794
20:24:15.047 -> 1079, 1014, 796
20:24:15.114 -> 1077, 1015, 799
20:24:15.147 -> 1080, 1011, 795
20:24:15.214 -> 1082, 1011, 799
20:24:15.247 -> 1076, 1013, 794
20:24:15.313 -> 1084, 1014, 792
20:24:15.346 -> 1080, 1017, 796
20:24:15.413 -> 1080, 1014, 795
20:24:15.479 -> 1081, 1016, 796
20:24:15.513 -> 1078, 1014, 792
20:24:15.579 -> 1083, 1013, 796
20:24:15.612 -> 1082, 1013, 794
20:24:15.679 -> 1077, 1017, 799
20:24:15.712 -> 1075, 1015, 799
20:24:15.779 -> 1077, 1013, 797
20:24:15.812 -> 1080, 1016, 794
20:24:15.878 -> 1079, 1015, 799
20:24:15.912 -> 1083, 1016, 800
20:24:15.978 -> 1078, 1014, 799
20:24:16.011 -> 1075, 1013, 800
20:24:16.078 -> 1081, 1013, 798
20:24:16.111 -> 1084, 1014, 795
20:24:16.178 -> 1082, 1015, 798
20:24:16.244 -> 1079, 1014, 796
20:24:16.277 -> 1078, 1015, 799
20:24:16.344 -> 1078, 1014, 797
20:24:16.377 -> 1080, 1014, 794
20:24:16.443 -> 1094, 1013, 793
20:24:16.477 -> 1098, 1012, 793
20:24:16.543 -> 1089, 1014, 796
20:24:16.576 -> 1085, 1014, 798
20:24:16.643 -> 1081, 1053, 795
20:24:16.676 -> 1080, 1027, 796
20:24:16.743 -> 1081, 1018, 797
20:24:16.776 -> 1082, 1013, 797
20:24:16.842 -> 1081, 1013, 797
20:24:16.909 -> 1078, 1007, 802
20:24:16.942 -> 1081, 1014, 796
20:24:17.008 -> 1079, 1016, 795
20:24:17.042 -> 1079, 1016, 796
20:24:17.108 -> 1077, 1015, 796
20:24:17.141 -> 1079, 1013, 794
20:24:17.208 -> 1083, 1016, 794
20:24:17.241 -> 1082, 1014, 795
20:24:17.307 -> 1079, 1014, 795
20:24:17.341 -> 1078, 1013, 795
20:24:17.407 -> 1080, 998, 799
20:24:17.440 -> 1079, 1013, 800
20:24:17.507 -> 1080, 1017, 798
20:24:17.540 -> 1077, 1016, 797
20:24:17.607 -> 1079, 1014, 798
20:24:17.673 -> 1082, 1014, 794
20:24:17.706 -> 1083, 1015, 797
20:24:17.773 -> 1096, 1014, 797
20:24:17.806 -> 1086, 1013, 800
20:24:17.873 -> 1078, 1014, 798
20:24:17.906 -> 1078, 1012, 798
20:24:17.973 -> 1075, 1013, 797
20:24:18.006 -> 1073, 1014, 796
20:24:18.073 -> 1077, 1011, 796
20:24:18.106 -> 1084, 1013, 799
20:24:18.172 -> 1085, 1014, 790
20:24:18.206 -> 1078, 1011, 798
20:24:18.272 -> 1081, 1014, 797
20:24:18.305 -> 1082, 1014, 797
20:24:18.372 -> 1085, 1013, 799
20:24:18.438 -> 1079, 1016, 798
20:24:18.471 -> 1079, 1016, 797
20:24:18.538 -> 1076, 1012, 794
20:24:18.571 -> 1081, 1011, 795
20:24:18.638 -> 1075, 1011, 795
20:24:18.671 -> 1081, 1014, 797
20:24:18.737 -> 1082, 1014, 795
20:24:18.771 -> 1084, 1013, 795
20:24:18.837 -> 1081, 1020, 797
20:24:18.870 -> 1078, 1013, 793
20:24:18.937 -> 1081, 1011, 797
20:24:18.970 -> 1081, 1016, 796
20:24:19.036 -> 1075, 1016, 796
20:24:19.070 -> 1081, 1013, 796
20:24:19.136 -> 1082, 1016, 794
20:24:19.202 -> 1078, 1017, 798
20:24:19.236 -> 1079, 1013, 794
20:24:19.302 -> 1080, 1008, 796
20:24:19.335 -> 1075, 1018, 793
20:24:19.401 -> 1075, 1014, 796
20:24:19.435 -> 1076, 1014, 797
20:24:19.501 -> 1082, 1013, 797
20:24:19.534 -> 1076, 1015, 799
20:24:19.601 -> 1084, 1013, 798
20:24:19.634 -> 1077, 1005, 798
20:24:19.700 -> 1077, 1018, 793
20:24:19.734 -> 1074, 1145, 795
20:24:19.800 -> 1083, 1017, 797
20:24:19.834 -> 1078, 1010, 794
20:24:19.900 -> 1078, 1015, 797
20:24:19.967 -> 1080, 1014, 795
20:24:20.000 -> 1083, 1015, 797
20:24:20.066 -> 1083, 1013, 796
20:24:20.099 -> 1077, 1016, 792
20:24:20.166 -> 1082, 1017, 795
20:24:20.199 -> 1085, 1012, 798
20:24:20.266 -> 1078, 1018, 795
20:24:20.299 -> 1085, 1015, 796
20:24:20.365 -> 1078, 1013, 797
20:24:20.399 -> 1078, 1013, 796
20:24:20.465 -> 1083, 1014, 797
20:24:20.498 -> 1077, 1013, 795
20:24:20.565 -> 1081, 1014, 795
20:24:20.598 -> 1077, 1013, 797
20:24:20.664 -> 1078, 1014, 795
20:24:20.731 -> 1084, 1017, 795
20:24:20.764 -> 1079, 1032, 800
20:24:20.831 -> 1082, 1017, 798
20:24:20.864 -> 1077, 1018, 796
20:24:20.930 -> 1084, 1015, 801
20:24:20.964 -> 1081, 1013, 799
20:24:21.030 -> 1083, 1014, 795
20:24:21.063 -> 1082, 1034, 797
20:24:21.130 -> 1078, 1013, 797
20:24:21.163 -> 1078, 1020, 797
20:24:21.230 -> 1080, 1016, 797
20:24:21.263 -> 1075, 1015, 795
20:24:21.329 -> 1080, 1017, 797
20:24:21.396 -> 1082, 1017, 795
20:24:21.429 -> 1078, 1014, 795
20:24:21.495 -> 1078, 1013, 795
20:24:21.529 -> 1085, 1011, 796
20:24:21.595 -> 1081, 1013, 794
20:24:21.628 -> 1076, 1014, 796
20:24:21.695 -> 1076, 1014, 797
20:24:21.728 -> 1081, 1018, 800
20:24:21.795 -> 1084, 1014, 796
20:24:21.828 -> 1085, 1018, 795
20:24:21.894 -> 1079, 1017, 796
20:24:21.928 -> 1081, 1015, 798
20:24:21.994 -> 1078, 1017, 798
20:24:22.027 -> 1077, 1015, 801
20:24:22.094 -> 1076, 1012, 797
20:24:22.160 -> 1083, 1016, 795
20:24:22.193 -> 1081, 1013, 798
20:24:22.260 -> 1079, 1018, 799
20:24:22.293 -> 1079, 1014, 799
20:24:22.360 -> 1079, 1014, 797
20:24:22.393 -> 1103, 1010, 797
20:24:22.460 -> 1076, 1014, 795
20:24:22.493 -> 1085, 1016, 798
20:24:22.559 -> 1075, 1015, 797
20:24:22.592 -> 1082, 1015, 797
20:24:22.659 -> 1077, 1013, 793
20:24:22.692 -> 1085, 1011, 797
20:24:22.759 -> 1077, 1012, 796
20:24:22.825 -> 1081, 1013, 797
20:24:22.858 -> 1081, 1013, 792
20:24:22.924 -> 1075, 1014, 795
20:24:22.958 -> 1077, 1011, 796
20:24:23.024 -> 1076, 1013, 799
20:24:23.057 -> 1073, 1012, 796
20:24:23.124 -> 1081, 1011, 797
20:24:23.157 -> 1082, 1006, 795
20:24:23.224 -> 1081, 1014, 794
20:24:23.257 -> 1079, 1014, 795
20:24:23.323 -> 1076, 1016, 794
20:24:23.356 -> 1077, 1013, 798
20:24:23.423 -> 1078, 1013, 800
20:24:23.456 -> 1082, 1017, 797
20:24:23.523 -> 1078, 1011, 792
20:24:23.589 -> 1077, 1013, 799
20:24:23.622 -> 1077, 1013, 790
20:24:23.689 -> 1077, 1004, 795
20:24:23.722 -> 1081, 1010, 795
20:24:23.788 -> 1076, 1017, 796
20:24:23.822 -> 1075, 1013, 798
20:24:23.888 -> 1081, 1013, 798
20:24:23.921 -> 1079, 1010, 798
20:24:23.988 -> 1077, 1012, 793
20:24:24.021 -> 1076, 1016, 798
20:24:24.087 -> 1081, 1012, 797
20:24:24.121 -> 1075, 1013, 796
20:24:24.187 -> 1077, 1015, 795
20:24:24.220 -> 1074, 1013, 797
20:24:24.287 -> 1078, 1012, 797
20:24:24.353 -> 1078, 1011, 793
20:24:24.386 -> 1079, 1016, 796
20:24:24.453 -> 1075, 1013, 800
20:24:24.486 -> 1075, 1013, 797
20:24:24.553 -> 1074, 1016, 796
20:24:24.586 -> 1080, 1014, 794
20:24:24.652 -> 1083, 1008, 800
20:24:24.686 -> 1077, 1013, 793
20:24:24.752 -> 1075, 1014, 816
20:24:24.785 -> 1081, 1016, 798
20:24:24.852 -> 1079, 1018, 798
20:24:24.885 -> 1074, 1011, 798
20:24:24.952 -> 1081, 1016, 788
20:24:24.985 -> 1080, 1011, 796
20:24:25.051 -> 1077, 1013, 794
20:24:25.118 -> 1074, 1026, 796
20:24:25.151 -> 1077, 1012, 797
20:24:25.217 -> 1083, 1017, 795
20:24:25.250 -> 1081, 1011, 795
20:24:25.317 -> 1079, 1014, 796
20:24:25.350 -> 1073, 1016, 798
20:24:25.417 -> 1079, 1012, 797
20:24:25.450 -> 1078, 1013, 799
20:24:25.516 -> 1077, 1015, 800
20:24:25.550 -> 1084, 1018, 800
20:24:25.616 -> 1077, 1017, 799
20:24:25.649 -> 1085, 991, 798
20:24:25.715 -> 1078, 1013, 798
20:24:25.782 -> 1074, 1013, 795
20:24:25.815 -> 1078, 1017, 795
20:24:25.882 -> 1077, 1016, 798
20:24:25.915 -> 1079, 1015, 794
20:24:25.982 -> 1082, 1014, 799
20:24:26.015 -> 1079, 1015, 795
20:24:26.081 -> 1077, 1016, 800
20:24:26.114 -> 1079, 1019, 801
20:24:26.181 -> 1080, 1017, 800
20:24:26.214 -> 1074, 1011, 799
20:24:26.281 -> 1084, 1016, 806
20:24:26.314 -> 1081, 1016, 798
20:24:26.381 -> 1082, 1018, 797
20:24:26.414 -> 1076, 1013, 796
20:24:26.480 -> 1076, 1013, 800
20:24:26.547 -> 1076, 1019, 796
20:24:26.580 -> 1079, 1019, 796
20:24:26.646 -> 1071, 1012, 796
20:24:26.680 -> 1080, 1018, 796
20:24:26.746 -> 1077, 1017, 798
20:24:26.779 -> 1080, 1016, 796
20:24:26.846 -> 1083, 1017, 797
20:24:26.879 -> 1081, 1010, 799
20:24:26.945 -> 1078, 1016, 798
20:24:26.979 -> 1086, 1014, 799
20:24:27.045 -> 1083, 1016, 799
20:24:27.078 -> 1071, 1017, 797
20:24:27.145 -> 1082, 1013, 797
20:24:27.178 -> 1082, 1014, 797
20:24:27.245 -> 1078, 1015, 799
20:24:27.311 -> 1081, 1016, 800
20:24:27.344 -> 1083, 1014, 798
20:24:27.411 -> 1079, 1014, 799
20:24:27.444 -> 1081, 1013, 800
20:24:27.511 -> 1081, 1016, 799
20:24:27.544 -> 1082, 1016, 796
20:24:27.610 -> 1084, 1011, 798
20:24:27.644 -> 1081, 1014, 800
20:24:27.710 -> 1081, 1018, 798
20:24:27.744 -> 1083, 1014, 797
20:24:27.810 -> 1075, 1018, 798
20:24:27.843 -> 1084, 1014, 794
20:24:27.910 -> 1079, 1010, 795
20:24:27.943 -> 1082, 1011, 795
20:24:28.009 -> 1077, 1013, 798
20:24:28.076 -> 1079, 1017, 799
20:24:28.109 -> 1081, 1015, 799
20:24:28.176 -> 1073, 1013, 801
20:24:28.209 -> 1079, 1019, 798
20:24:28.275 -> 1081, 1013, 798
20:24:28.308 -> 1084, 1014, 800
20:24:28.375 -> 1077, 1019, 800
20:24:28.408 -> 1082, 1014, 799
20:24:28.474 -> 1081, 1014, 798
20:24:28.508 -> 1079, 1014, 796
20:24:28.574 -> 1082, 1013, 803
20:24:28.607 -> 1082, 1018, 797
20:24:28.674 -> 1086, 1015, 797
20:24:28.740 -> 1082, 1017, 807
20:24:28.774 -> 1081, 1013, 797
20:24:28.840 -> 1080, 1013, 799
20:24:28.873 -> 1081, 1015, 797
20:24:28.940 -> 970, 1014, 809
20:24:28.973 -> 1082, 1014, 799
20:24:29.040 -> 1078, 1015, 798
20:24:29.073 -> 1081, 1014, 798
20:24:29.139 -> 1072, 1015, 800
20:24:29.173 -> 1081, 1013, 800
20:24:29.239 -> 1078, 1014, 797
20:24:29.272 -> 1084, 1013, 796
20:24:29.339 -> 1080, 1012, 795
20:24:29.372 -> 1086, 1016, 798
20:24:29.438 -> 1078, 1014, 797
20:24:29.472 -> 1076, 1018, 799
20:24:29.538 -> 1107, 1015, 798
20:24:29.605 -> 1084, 1017, 798
20:24:29.638 -> 1084, 1014, 796
20:24:29.704 -> 1083, 1018, 797
20:24:29.738 -> 1077, 1017, 797
