20:23:20.424 -> A, B, C
20:23:28.197 -> 974, 1022, 793
20:23:28.230 -> 974, 1023, 794
20:23:28.296 -> 975, 1028, 806
20:23:28.329 -> 975, 1027, 792
20:23:28.395 -> 974, 1021, 793
20:23:28.428 -> 976, 1023, 790
20:23:28.495 -> 975, 1021, 791
20:23:28.561 -> 976, 1023, 792
20:23:28.594 -> 973, 1023, 793
20:23:28.661 -> 971, 1021, 795
20:23:28.694 -> 975, 1021, 795
20:23:28.760 -> 972, 1022, 793
20:23:28.794 -> 973, 1023, 794
20:23:28.860 -> 973, 1028, 794
20:23:28.893 -> 974, 1022, 795
20:23:28.960 -> 974, 1024, 795
20:23:28.993 -> 972, 1023, 791
20:23:29.059 -> 973, 1022, 794
20:23:29.092 -> 927, 1024, 799
20:23:29.159 -> 974, 1022, 789
20:23:29.192 -> 976, 1022, 790
20:23:29.259 -> 973, 1021, 794
20:23:29.325 -> 975, 1026, 790
20:23:29.359 -> 975, 1027, 793
20:23:29.425 -> 974, 1034, 794
20:23:29.458 -> 976, 1021, 794
20:23:29.524 -> 974, 1027, 795
20:23:29.557 -> 971, 1028, 794
20:23:29.624 -> 971, 1027, 794
20:23:29.657 -> 975, 1027, 791
20:23:29.723 -> 976, 1022, 793
20:23:29.757 -> 974, 1022, 796
20:23:29.823 -> 976, 1027, 789
20:23:29.856 -> 975, 1022, 791
20:23:29.923 -> 974, 1022, 793
20:23:29.956 -> 971, 1022, 791
20:23:30.022 -> 975, 1027, 794
20:23:30.089 -> 975, 1022, 795
20:23:30.122 -> 973, 1030, 789
20:23:30.189 -> 975, 1020, 790
20:23:30.222 -> 977, 1023, 794
20:23:30.288 -> 975, 1021, 791
20:23:30.322 -> 975, 1027, 793
20:23:30.388 -> 977, 1025, 798
20:23:30.421 -> 1009, 1029, 794
20:23:30.488 -> 975, 1021, 791
20:23:30.521 -> 975, 1023, 790
20:23:30.587 -> 974, 1023, 793
20:23:30.620 -> 975, 1011, 788
20:23:30.687 -> 975, 1026, 790
20:23:30.754 -> 972, 1021, 791
20:23:30.787 -> 975, 1023, 790
20:23:30.853 -> 976, 1027, 795
20:23:30.887 -> 975, 1019, 793
20:23:30.953 -> 976, 1017, 795
20:23:30.986 -> 975, 1023, 797
20:23:31.053 -> 973, 1021, 791
20:23:31.086 -> 978, 1023, 789
20:23:31.152 -> 975, 1020, 794
20:23:31.185 -> 976, 1034, 792
20:23:31.252 -> 975, 1021, 791
20:23:31.285 -> 974, 1022, 794
20:23:31.352 -> 973, 1027, 794
20:23:31.418 -> 975, 1026, 796
20:23:31.451 -> 971, 1023, 793
20:23:31.518 -> 981, 1042, 796
20:23:31.551 -> 975, 1021, 791
20:23:31.618 -> 973, 1026, 793
20:23:31.651 -> 975, 1021, 792
20:23:31.717 -> 976, 1022, 794
20:23:31.751 -> 974, 1018, 793
20:23:31.817 -> 973, 1028, 797
20:23:31.850 -> 975, 1022, 792
20:23:31.917 -> 974, 1022, 791
20:23:31.950 -> 975, 1023, 794
20:23:32.017 -> 973, 1024, 794
20:23:32.050 -> 975, 1020, 789
20:23:32.116 -> 975, 1023, 794
20:23:32.183 -> 973, 1027, 793
20:23:32.216 -> 974, 1027, 793
20:23:32.282 -> 975, 1021, 791
20:23:32.316 -> 973, 1023, 791
20:23:32.382 -> 975, 1027, 793
20:23:32.415 -> 974, 1023, 796
20:23:32.482 -> 870, 1024, 800
20:23:32.515 -> 975, 1022, 791
20:23:32.582 -> 975, 1021, 790
20:23:32.615 -> 975, 1021, 793
20:23:32.681 -> 975, 1022, 793
20:23:32.715 -> 975, 1022, 794
20:23:32.781 -> 975, 1022, 792
20:23:32.815 -> 831, 1034, 806
20:23:32.881 -> 976, 1021, 795
20:23:32.948 -> 975, 1022, 794
20:23:32.981 -> 973, 1022, 794
20:23:33.047 -> 975, 1028, 791
20:23:33.081 -> 973, 1022, 795
20:23:33.147 -> 973, 1022, 791
20:23:33.180 -> 975, 1020, 789
20:23:33.247 -> 976, 1021, 790
20:23:33.280 -> 975, 1026, 793
20:23:33.347 -> 978, 1022, 794
20:23:33.380 -> 974, 1022, 791
20:23:33.446 -> 975, 1023, 791
20:23:33.479 -> 975, 1023, 794
20:23:33.546 -> 975, 1029, 791
20:23:33.579 -> 975, 1022, 791
20:23:33.646 -> 801, 1031, 803
20:23:33.712 -> 1001, 1028, 791
20:23:33.745 -> 974, 1023, 796
20:23:33.812 -> 973, 1028, 793
20:23:33.845 -> 975, 1023, 796
20:23:33.912 -> 974, 1022, 794
20:23:33.945 -> 975, 1021, 790
20:23:34.011 -> 967, 1028, 793
20:23:34.045 -> 975, 1018, 791
20:23:34.111 -> 978, 1037, 790
20:23:34.144 -> 976, 1023, 792
20:23:34.211 -> 975, 1022, 793
20:23:34.244 -> 974, 1021, 794
20:23:34.311 -> 973, 1022, 796
20:23:34.344 -> 975, 1043, 791
20:23:34.410 -> 975, 1021, 794
20:23:34.477 -> 975, 1022, 789
20:23:34.510 -> 974, 1020, 795
20:23:34.577 -> 976, 1027, 793
20:23:34.610 -> 974, 1022, 794
20:23:34.676 -> 975, 1029, 794
20:23:34.709 -> 975, 1022, 791
20:23:34.776 -> 975, 1022, 794
20:23:34.809 -> 975, 1017, 794
20:23:34.875 -> 981, 1017, 793
20:23:34.909 -> 976, 1038, 793
20:23:34.975 -> 976, 1020, 794
20:23:35.008 -> 978, 1023, 795
20:23:35.075 -> 976, 1023, 798
20:23:35.108 -> 975, 1022, 801
20:23:35.175 -> 976, 1020, 795
20:23:35.241 -> 975, 1027, 795
20:23:35.275 -> 975, 1027, 792
20:23:35.341 -> 977, 1019, 794
20:23:35.374 -> 959, 1024, 794
20:23:35.441 -> 975, 1028, 794
20:23:35.474 -> 976, 1027, 790
20:23:35.540 -> 977, 1027, 793
20:23:35.573 -> 975, 1021, 790
20:23:35.640 -> 975, 1023, 797
20:23:35.673 -> 976, 1029, 797
20:23:35.739 -> 975, 1020, 796
20:23:35.772 -> 976, 1032, 791
20:23:35.839 -> 977, 1015, 798
20:23:35.905 -> 975, 1027, 795
20:23:35.939 -> 976, 1022, 793
20:23:36.005 -> 976, 1022, 794
20:23:36.038 -> 972, 1021, 795
20:23:36.105 -> 975, 1020, 794
20:23:36.138 -> 976, 1033, 795
20:23:36.204 -> 976, 1019, 796
20:23:36.238 -> 975, 1020, 798
20:23:36.304 -> 975, 1021, 796
20:23:36.337 -> 986, 1029, 795
20:23:36.404 -> 996, 1024, 798
20:23:36.437 -> 998, 1023, 796
20:23:36.503 -> 992, 1028, 798
20:23:36.537 -> 1000, 1027, 796
20:23:36.603 -> 998, 1026, 798
20:23:36.669 -> 977, 1022, 797
20:23:36.703 -> 995, 1021, 796
20:23:36.769 -> 996, 1019, 800
20:23:36.805 -> 994, 1021, 795
20:23:36.869 -> 994, 1022, 797
20:23:36.902 -> 991, 1022, 795
20:23:36.969 -> 993, 1019, 795
20:23:37.002 -> 997, 1022, 798
20:23:37.068 -> 993, 1023, 795
20:23:37.102 -> 1005, 1023, 797
20:23:37.168 -> 995, 1022, 798
20:23:37.201 -> 992, 1018, 786
20:23:37.268 -> 993, 1027, 799
20:23:37.301 -> 996, 1024, 794
20:23:37.367 -> 993, 1020, 792
20:23:37.434 -> 998, 1021, 789
20:23:37.467 -> 995, 1021, 788
20:23:37.534 -> 995, 1022, 791
20:23:37.567 -> 996, 1021, 794
20:23:37.633 -> 993, 1023, 791
20:23:37.667 -> 994, 1020, 793
20:23:37.733 -> 994, 1022, 794
20:23:37.766 -> 993, 1027, 795
20:23:37.833 -> 994, 1014, 794
20:23:37.866 -> 992, 1022, 793
20:23:37.933 -> 990, 1027, 789
20:23:37.966 -> 993, 1022, 796
20:23:38.032 -> 995, 1024, 793
20:23:38.066 -> 993, 1020, 794
20:23:38.132 -> 997, 1033, 792
20:23:38.199 -> 995, 1029, 793
20:23:38.232 -> 999, 1023, 794
20:23:38.298 -> 993, 1020, 789
20:23:38.331 -> 997, 1021, 794
20:23:38.398 -> 995, 1028, 794
20:23:38.431 -> 999, 1019, 800
20:23:38.498 -> 1002, 1022, 790
20:23:38.531 -> 996, 1022, 794
20:23:38.598 -> 994, 1027, 797
20:23:38.631 -> 997, 1021, 793
20:23:38.697 -> 995, 1029, 793
20:23:38.730 -> 997, 1019, 795
20:23:38.797 -> 994, 1022, 794
20:23:38.864 -> 998, 1022, 795
20:23:38.896 -> 991, 1020, 794
20:23:38.963 -> 994, 1024, 794
20:23:38.996 -> 995, 1027, 794
